,date,open,high,low,close,volume,symbol
566,2020-08-22 00:00:00,11531.23,11686.0,11376.81,11662.96,43678.701646,ETH
565,2020-08-23 00:00:00,11663.51,11718.07,11514.13,11648.13,37900.004689999994,ETH
564,2020-08-24 00:00:00,11648.12,11824.9,11585.09,11748.2,46212.391867,ETH
563,2020-08-25 00:00:00,11748.19,11767.85,11117.64,11318.42,69590.923272,ETH
562,2020-08-26 00:00:00,11318.42,11539.32,11244.0,11461.43,53998.23123099999,ETH
561,2020-08-27 00:00:00,11461.42,11592.2,11125.0,11330.38,63246.036383000006,ETH
560,2020-08-28 00:00:00,11330.38,11542.65,11276.89,11526.91,45953.908364999996,ETH
559,2020-08-29 00:00:00,11526.9,11580.02,11417.04,11465.84,32973.7992,ETH
558,2020-08-30 00:00:00,11465.84,11719.0,11458.0,11711.16,43177.879054000005,ETH
557,2020-08-31 00:00:00,11711.17,11800.77,11570.0,11649.51,55353.617744,ETH
556,2020-09-01 00:00:00,11649.51,12050.85,11515.0,11921.97,78148.19366799999,ETH
555,2020-09-02 00:00:00,11921.97,11954.57,11160.1,11388.54,87221.845602,ETH
554,2020-09-03 00:00:00,11388.54,11462.6,9960.8,10140.85,121950.10601500001,ETH
553,2020-09-04 00:00:00,10138.29,10627.05,9875.5,10446.25,92733.599113,ETH
552,2020-09-05 00:00:00,10446.25,10565.68,9825.0,10166.69,90001.605568,ETH
551,2020-09-06 00:00:00,10166.69,10347.14,9994.86,10256.2,56368.788815,ETH
550,2020-09-07 00:00:00,10255.89,10410.75,9875.0,10373.44,62620.230676,ETH
549,2020-09-08 00:00:00,10373.45,10438.0,9850.0,10126.65,73491.878418,ETH
548,2020-09-09 00:00:00,10126.66,10343.0,9981.01,10219.2,49347.113776,ETH
547,2020-09-10 00:00:00,10219.29,10483.35,10070.83,10336.87,58253.75375,ETH
546,2020-09-11 00:00:00,10336.86,10397.6,10200.0,10387.89,43830.254467,ETH
545,2020-09-12 00:00:00,10387.89,10477.97,10269.25,10440.92,35379.153095999995,ETH
